Name,Category,Sub-Category,Price,Competitor Price,Color,Size,Stock,CARE,Texture,Finish,Feel,Quality,Notes,Important Note,Images,Project Images,Product URL
RESTORATION ITALIA GOLDEN OAK,Upholstery Collections,Restorations Italia -   Vintage leathers both timeless & stunning!,$319.00,$464.00,GOLDEN BROWN,APPROX. 58 sq ft,STOCK ITEM,STANDARD,SMOOTH / NATURAL GRAIN,MEDIUM SHEEN,VERY SOFT WITH LIGHT WAXY FEEL,PREMIUM EUROPEAN FULL GRAIN,"Produced at one of Italy's finest tanneries, Restoration Italia is a stunning upholstery leather made on premium European hides! A true semi-aniline leather, Restoration Italia has a warm, multitone coloration with exceptional depth and character. As part of the tanning process Restoration Italia is infused with a blend of oil and light waxes that helps the leather patina with routine use - creating that classic vintage look!  Restoration Italia brings together true old-world craftsmanship with a super stylish leather that only gets better with time. Available exclusively from Leather Hide Store at true wholesale prices! Approx Weight 2.6 oz/sq ft. Approx Thickness 1.0-1.1 mm. PLEASE NOTE: Restoration Italia Black will be more uniform in color as the multitoning is naturally less visible.","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/i/m/img_0474.jpg,,https://www.leatherhidestore.com/restoration-toffee-vintage-leather-hide-1.html
SECRET GARDEN NUBUCK,Upholstery Collections,Tapestry - Distinctive Waxed Nubuck from Italy !,$316.25,$492.25,Multitone Deep Green,APPROX. 55 sq ft *Photo table 5 ft wide,STOCK ITEM,STANDARD,DISTRESSED NUBUCK,LOW SHEEN,VERY SOFT WITH LIGHT WAXY FEEL,PREMIUM FULL GRAIN,"Tapestry is a distinctively styled waxed Nubuck from Italy that offers a fresh approach to today's design aesthetic. Produced on the finest European hides, Tapestry is aniline dyed and then hand distressed to create a warm and inviting multitone appearance. The final step is the application of a light wax topcoat that gives both a soft touch to the leather along with lasting protection against wear and staining. Tapestry is a bold addition to the family of fine nubuck leathers! Approx Weight 2.8 - 3.2 oz/sq.ft. Approx Thickness: 1.1 -1.3 mm","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/e/c/echo_nubuck_c1.jpg,,https://www.leatherhidestore.com/ty-14-secret-garden.html
RESTORATION ITALIA ORCHARD,Upholstery Collections,Restorations Italia -   Vintage leathers both timeless & stunning!,$264.00,$384.00,GORGEOUS APPLE GREEN,APPROX. 48 sq ft,STOCK ITEM,STANDARD,SMOOTH / NATURAL GRAIN,MEDIUM SHEEN,VERY SOFT WITH LIGHT WAXY FEEL,PREMIUM EUROPEAN FULL GRAIN,"Produced at one of Italy's finest tanneries, Restoration Italia is a stunning upholstery leather made on premium European hides! A true semi-aniline leather, Restoration Italia has a warm, multitone coloration with exceptional depth and character. As part of the tanning process Restoration Italia is infused with a blend of oil and light waxes that helps the leather patina with routine use - creating that classic vintage look!  Restoration Italia brings together true old-world craftsmanship with a super stylish leather that only gets better with time. Available exclusively from Leather Hide Store at true wholesale prices! Approx Weight 2.6 oz/sq ft. Approx Thickness 1.0-1.1 mm. PLEASE NOTE: Restoration Italia Black will be more uniform in color as the multitoning is naturally less visible.","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/g/r/green_apple_c12.edit.jpg,"https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg",https://www.leatherhidestore.com/ri-restoration-italia-orchard.html
BADLANDS,Upholstery Collections,"Durango -  Rich, waxy leathers that get better with time",$282.15,$427.50,ESPRESSO BROWN WITH DARK BURGUNDY UNDERTONE,Approx 57 sq ft,STOCK ITEM,STANDARD,HEAVY DISTRESS,MEDIUM,FIRM WITH HEAVY WAX (SOFTENS WHEN WORKED),PREMIUM FULL GRAIN,GORGEOUS VINTAGE DISTRESS EQUAL TO POTTERY BARN AND RESTORATION HARDWARE AT EXCEPTIONAL SAVINGS! Please note these are made on Brahman cowhides so a hump hole is likely (see example on Natural Leather markings page under Leather Buyers Guide). Hides are made to order so delivery time can take up to 15 business days - please contact us for current inventory. Hides are shipped rolled. Approx Weight 2.6 oz/sq.ft. Approx Thickness: 1.2 mm,"Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/b/4/b4.jpg,"https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg",https://www.leatherhidestore.com/dg-2-badlands.html
DARK GOLD,Upholstery Collections,"Durango -  Rich, waxy leathers that get better with time",$222.75,$337.50,Bold Contrasting Multi-tone Dark Brown and Burnt Orange Gold,APPROX. 45 sq/ft,STOCK ITEM,STANDARD,HEAVY DISTRESS,MEDIUM,SOFT WITH HEAVY WAX FEEL!,PREMIUM FULL GRAIN!,GORGEOUS VINTAGE DISTRESS EQUAL TO POTTERY BARN AND RESTORATION HARDWARE AT EXCEPTIONAL SAVINGS! Please note these are made on Brahman cowhides so natural markings including a hump hole (slit along to edge of spine) is possible. Hides are shipped rolled. Approx Weight 2.6 oz/sq.ft. Approx Thickness: 1.2 mm,"Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/0e90d21fab7cef1bd494a948f30b8be0/d/u/durangodkgoldclose1800pixel_2.edited.jpg,"https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg",https://www.leatherhidestore.com/cp-14-durango-dk-gold-leather-upholstery.html
DARK PINE,Upholstery Collections,"Euro Smooth - Luxe & Durable, Bold Color & Smooth Finish !",$320.25,$488.00,RICH HUNTER GREEN,APPROX 61 sq ft *Photo table is 5 ft wide,STOCK ITEM,STANDARD,SMOOTH GRAIN,MEDIUM-LOW SHEEN,BUTTERY SOFT,PREMIUM ITALIAN HIDES,,"Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/e/u/euro_smooth_junipter_c4.jpg,,https://www.leatherhidestore.com/eo-7%20juniper.html
SMOKESTACK,Upholstery Collections,Bull City -   Soft & stunning rustic heavyweight leather,$261.25,$371.25,MULTITONE DARK GREY,APPROX. 55 sq ft *Photo table 5 ft wide,STOCK ITEM,STANDARD,NATURAL GRAIN DISTRESSED,MATTE NUBUCK,VERY SOFT,PREMIUM FULL GRAIN,"Bull City Smokestack is beautiful heavyweight rustic leather. Smokestack is dark grey and then hand distressed to reveal the medium grey undertones, creating a truly authentic, rustic look. The feel of the leather is exceptionally soft! Full grain, Argentine hides complete with natural markings like brands, healed scratches and scars are desired in this leather - making every hide one of a kind! Approx Weight 3 - 3.5 oz/sq.ft. Approx Thickness: 1.3 -1.5 mm","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/89e0978e9d065a6ab6e183e6ce44dcc1/s/m/smokestack_c1_1.jpg,,https://www.leatherhidestore.com/blc-2-smoke-stack.html
MONTANA RIVERBED,Upholstery Collections,"Montana -   Authentic, one a of kind rustic leathers",$232.75,$343.00,MULTITONE DARK AND SADDLE BROWNS WITH SUBTLE GOLDEN UNDERTONES,APPROX. 49 sq ft *Photo table 5 ft wide,STOCK ITEM,STANDARD,NATURAL DISTRESSED,MATTE,VERY SOFT,PREMIUM FULL GRAIN,"Montana Riverbed is stunning hand finished leather. Montana begins with dark and saddle browns and is then distressed to add golden highlights creating a truly authentic, rustic look. The hand (feel) of Montana is also exceptionally soft. Natural markings like brands, healed scratches and scars are desired in this leather - making every hide one of a kind! Proudly produced in the USA! Approx Weight 2.6 - 3.0 oz/sq.ft. Approx Thickness: 1.0 -1.2 mm
.","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/r/i/river_bed_close3.jpg,"https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg",https://www.leatherhidestore.com/montana-riverbed-leather-hides-uphostery.html
RESTORATION ITALIA GOLDEN OAK,Upholstery Collections,Restorations Italia -   Vintage leathers both timeless & stunning!,$183.00,$266.00,GOLDEN BROWN,APPROX. 32 sq ft *This is a Half Hide,STOCK ITEM,STANDARD,SMOOTH / NATURAL GRAIN,MEDIUM SHEEN,VERY SOFT WITH LIGHT WAXY FEEL,PREMIUM EUROPEAN FULL GRAIN,"Produced at one of Italy's finest tanneries, Restoration Italia is a stunning upholstery leather made on premium European hides! A true semi-aniline leather, Restoration Italia has a warm, multitone coloration with exceptional depth and character. As part of the tanning process Restoration Italia is infused with a blend of oil and light waxes that helps the leather patina with routine use - creating that classic vintage look!  Restoration Italia brings together true old-world craftsmanship with a super stylish leather that only gets better with time. Available exclusively from Leather Hide Store at true wholesale prices! Approx Weight 2.6 oz/sq ft. Approx Thickness 1.0-1.1 mm. PLEASE NOTE: Restoration Italia Black will be more uniform in color as the multitoning is naturally less visible.","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/i/m/img_0474_1.jpg,,https://www.leatherhidestore.com/restoration-amaretto-vintage-leather-hide-1.html
WESTERN SUN,Upholstery Collections,Urban Underground  Additional unique colors of this rich & lux heavyweight classic!,$322.00,$452.25,SOFT GOLDEN YELLOW,APPROX. 70 sq ft *Photo table is 5 ft wide,STOCK ITEM,STANDARD,NATURAL MILL PEBBLE,MEDIUM SHEEN,SUPPLE AND SOFT,PREMIUM FULL GRAIN,"Western Sun combines rich color, supple soft feel, and a premium top grain cowhide into a leather that exudes luxury. Western Sun is a slightly heavyweight upholstery hide that is extra plush. The grain is a natural mill pebble that has subtle variations across the hide as nature intended. While very soft, Western Sun is also wear-resistant and appropriate for everyday use. An exceptional leather at an exceptional price! Approx weight of hide: 3.5 oz/sq.ft. Approx thickness: 1.3-1.4 mm","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/g/o/gold_c5.jpg,,https://www.leatherhidestore.com/westernsun-leather-hide.html
