Name,Category,Sub-Category,Price,Competitor Price,Color,Size,Stock,CARE,Texture,Finish,Feel,Quality,Notes,Important Note,Images,Project Images,Product URL
INTO THE NIGHT,Shop By Color,,$225.50,$357.50,2-TONE MIDNIGHT BLUE AND BLACK,APPROX 55 sq ft *Photo table is 5 ft wide,CLOSEOUT ITEM,STANDARD,NUBUCK,LOW SHEEN,NUBUCK / SUEDE,PREMIUM TOP GRAIN,"Into The Night is a very soft and lush nubuck leather. Nubuck is a top grain leather that has a slight nap that looks and feels like suede but is considerably stronger. Natural markings such as brands, bug bites, and scratches are to be anticipated and only enhance the natural beauty of the hide, creating a unique and rustic aesthetic. We are proud to offer this beautiful premium full-grain leather at a price anyone can afford. Approx Weight 2.6 - 3.0 oz / sq ft Approx Thickness 1.0 - 1.2 mm","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/k/1/k1019_into_the_night_c2.jpg,,https://www.leatherhidestore.com/k1019-into-the-night.html
MARIGOLD SUEDE,Shop By Color,,$109.25,$152.00,DARK YELLOW,Approx 19 sq ft,STOCK ITEM,NUBUCK,SUEDE,MATTE SHEEN,SILKY SOFT,PREMIUM SUEDE,"Premium Italian suede is here!!! Nothing beats the silky soft touch of this gorgeous Marigold Suede - ideal for upholstery, handbags, and general leathercraft. The suede pictured on the table is not the exact piece you will receive but will be similar in size, color & shape. PLEASE NOTE: Suede does not have a protective topcoat & will need to be treated with a stain protector if desired (available at most large retailers). Beautiful suede leather at an exceptional price! Approx Weight 3.0 oz/sq.ft. Approx Thickness: 1.2 mm","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/1/_/1_40.jpg,,https://www.leatherhidestore.com/catalog/product/view/id/32646/s/pink-suede-1/
LEMON TWIST,Shop By Color,,$246.00,$345.00,RICH YELLOW WITH A PINCH OF LIME,APPROX. 60 sq ft,STOCK ITEM,STANDARD,NATURAL GRAIN,MEDIUM,VERY SOFT,FINE TOP GRAIN,"Gorgeous leather with a rich, vibrant color! Lemon Twist has a very soft feel that is supple yet durable and resistant to wear and tear - an ""essential"" leather for everyday use. Great quality at an exceptional price! Approx Weight 2.6 oz/sq.ft. Approx Thickness: 1.0 mm","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/d67562a8247a24d453567adb55ff79ad/n/e/new_lemon_twist_final_set_1a.jpg,"https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg",https://www.leatherhidestore.com/lemon-twist-leather-upholstery-hide.html
SOFT PEARL,Shop By Color,,$234.85,$320.25,SOFT WHITE,Approx 61 sq ft *Photo table is 5 ft wide,CLOSEOUT ITEM,STANDARD,NATURAL,MEDIUM SHEEN,VERY SOFT,EXCELLENT,Soft Pearl is a beautiful leather at an excellent price.,"Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/1/_/1_44.jpg,,https://www.leatherhidestore.com/k1093-caffe-mocha-d-1.html
INTO THE NIGHT,Shop By Color,,$246.00,$390.00,2-TONE MIDNIGHT BLUE AND BLACK,APPROX 60 sq ft *Photo table is 5 ft wide,CLOSEOUT ITEM,STANDARD,NUBUCK,LOW SHEEN,NUBUCK / SUEDE,PREMIUM TOP GRAIN,"Into The Night is a very soft and lush nubuck leather. Nubuck is a top grain leather that has a slight nap that looks and feels like suede but is considerably stronger. Natural markings such as brands, bug bites, and scratches are to be anticipated and only enhance the natural beauty of the hide, creating a unique and rustic aesthetic. We are proud to offer this beautiful premium full-grain leather at a price anyone can afford. Approx Weight 2.6 - 3.0 oz / sq ft Approx Thickness 1.0 - 1.2 mm","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/k/1/k1019_into_the_night_c2_1_1.jpg,,https://www.leatherhidestore.com/catalog/product/view/id/31533/s/k1019-b-into-the-night/
ROCK 'N' ROLL RED,Shop By Color,,$200.90,$318.50,VIBRANT RED,Approx 49 sq ft *Photo table is 5 ft wide,CLOSEOUT ITEM,STANDARD,NATURAL,SOFT GLOSS,VERY SOFT,EXCELLENT,"Rock 'N' Roll Red is a gorgeous leather that is sure to catch your eye with its vibrant red color. This hide is both soft and strong, the perfect balance of comfort and durability, making it ideal for high traffic uses. It's meant to be seen, admired, lived on and most of all enjoyed. When you think of high-quality leather that takes center stage think of Rock 'N' Roll Red. Order a sample today before these hides are gone so you can see and feel how the leather will work for your project. Approx Weight 2.6 - 3.0 oz / sq ft. Approx Thickness 1.0 - 1.2 mm","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/k/1/k1030_1.jpg,,https://www.leatherhidestore.com/k1030-rock-n-roll-red.html
STORMY MONDAY,Shop By Color,,$225.50,$357.50,RICH DARK GREY,APPROX 55 sq ft *Photo table is 5 ft wide,CLOSEOUT ITEM,STANDARD,NATURAL GRAIN,MEDIUM SHEEN,VERY SOFT WITH LIGHT WAXY FEEL,PREMIUM FULL GRAIN,"Stormy Monday is a  full aniline-dyed leather that has a deep, rich patina (color). Because aniline dyes are absorbed differently across the hide, the color has ""depth"" as slight variations in tones create a stunning vintage look. As part of the tanning process Stormy Monday is infused with a blend of oil and waxes giving it the prized, yet subtle, pull-up effect. The ""pull up"" is a soft burst of lighter tones that results from the leather being pulled or stretched during upholstering. Stormy Monday may have very slight color variations within the hide and from hide to hide as is common with premium aniline-dyed leather. Please note that some subtle natural markings such as brands, healed scratches and scars will be present and are considered the signature of fine leather. Get this premium full grain leather at a price anyone can afford. Order a sample before these hides are gone.  Approx Weight 2.6 oz/sq ft. Approx Thickness 1.0-1.2 mm.","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/k/8/k828_stormy_monday_whole_c1_1.jpg,,https://www.leatherhidestore.com/k828%20stormy%20monday.html
DARK MOSSY TRAIL,Shop By Color,,$241.90,$383.50,MOSSY GREEN,APPROX 59 sq ft *Photo table is 5 ft wide,CLOSEOUT ITEM,STANDARD,NATURAL GRAIN,MEDIUM SHEEN,VERY SOFT,PREMIUM FULL GRAIN,dark Mossy Trail  is,"Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/k/6/k637_c1.jpg,,https://www.leatherhidestore.com/k637-dark-mossy-trail.html
DUST ON THE BOTTLE,Shop By Color,,$180.40,$286.00,SOFT TAUPE,Approx 44 sq ft *Photo table is 5 ft wide,CLOSEOUT ITEM,STANDARD,NATURAL,MEDIUM SHEEN,VERY SOFT,PREMIUM FULL GRAIN,"Dust on the Bottle is a very nice leather at a price anyone can afford. This hide is both soft and strong, the perfect balance of comfort and durability, making it ideal for high traffic uses. It's meant to be seen admired, lived on and most of all enjoyed. Order a sample today before these hides are gone so you can see and feel how the leather will work for your project. Approx Weight 2.6 - 3.0 oz / sq ft. Approx Thickness 1.0 - 1.2 mm","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/k/9/k912_dust_on_the_bottle_c2.jpg,,https://www.leatherhidestore.com/k912%20dust%20on%20the%20bottle.html
BURNT ORANGE,Shop By Color,,$206.25,$288.75,2-TONE BURNT ORANGE,APPROX 55 sq ft *Photo table is 5 ft wide,CLOSEOUT ITEM,STANDARD,PEBBLE,MEDIUM SHEEN,VERY SOFT,EXCELLENT,This is very nice leather at an excellent price! Approx Weight 2.6 - 3.0 oz / sq ft. Approx Thickness 1.0 - 1.2 mm,"Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/k/5/k577.jpg,,https://www.leatherhidestore.com/k577-burnt-orange.html
